BLOCKGRP,Land_Acres,UTC_Acres,POP_2013,Hispanic_pct,White_pct,Black_pct,NativeAmer_pct,Asian_pct,PacIsland_pct,OtherRace_pct,TwoPlus_pct,MedHshldIncome,Vacant_pct,Rent_pct,Value,NoHighSchool_pct,HighSchool_pct,College_pct,AdvDegree_pct
160270217003,424.7831816,52.27959527,1877,20.51145445,94.35269046,2.770378263,0,0,0,0,5.753862547,33388,24.75598935,32.42924528,91500,4.09121395,49.29577465,13.07847082,0.8048289738
160270218001,47.75073608,8.075898683,1939,15.78133058,88.18978855,0,0,1.237751418,0,4.74471377,11.65549252,46875,8.969210174,26.47058824,149000,6.473724296,27.03731912,22.08682407,4.798172125
160270218002,2896.778378,89.71186258,1319,15.76952237,98.55951478,0,0,0,0,0,2.880970432,57375,16.53992395,5.466970387,200800,9.316037736,22.87735849,22.05188679,12.61792453
160270218003,1111.295917,33.95055222,2541,17.23730815,94.52971271,0,0,3.18772137,0,2.282565919,0,60625,9.720785936,8.705612829,228800,2.415458937,28.80434783,35.50724638,9.178743961
160270219011,684.2886508,56.79964724,1564,0.7672634271,96.41943734,0,1.406649616,0.7033248082,0,0,2.941176471,45231,1.121495327,24.00756144,107800,5.714285714,40.47619048,13.33333333,4.523809524
160270219012,1677.203019,123.2265209,3644,12.29418222,86.08671789,0,2.442371021,2.058177827,0,0.6586169045,17.50823271,40481,10.75347476,34.75409836,107500,3.134796238,41.46887595,23.33184057,3.134796238
160270219031,1691.179699,50.83180473,3568,10.67825112,94.50672646,0,0,0,0,0.3643497758,10.25784753,50540,3.046458492,24.1162608,211000,5.440647482,29.63129496,24.41546763,7.553956835
160270219032,1414.523541,29.39466996,5045,7.294350842,94.94549058,0,0,0,0.5550049554,0.5153617443,7.968285431,63453,6.008583691,26.54924984,243900,1.343821698,28.6791216,25.95870206,6.522451655
160270219041,416.7009255,10.11896613,2664,42.37987988,91.77927928,0.2627627628,2.43993994,0.1876876877,0,1.839339339,6.981981982,45595,12.91028446,25.50251256,165800,16.19407687,27.22117202,13.10649023,2.520478891
160270224001,120.7472305,7.649641868,2614,11.24713083,97.58990054,0,0,0.3442999235,0,1.03289977,2.065799541,46744,11.47227533,12.52699784,195700,7.622298066,33.73151308,20.87599545,5.631399317
